City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ushuaia,AR,40.66,clear sky,-54.8,-68.3,Albatross Hotel
10,Punta Arenas,CL,42.91,clear sky,-53.15,-70.9167,Hotel Hain
11,Castro,BR,57.18,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Alekseyevka,RU,42.03,overcast clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
23,Mataura,NZ,58.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
24,Dir,PK,46.06,clear sky,35.2058,71.8756,Ayaz hotal
38,Winsum,NL,42.98,clear sky,53.33,6.5208,Tuinhuis
44,Portland,US,44.78,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
46,Esperance,AU,58.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
47,Rawson,AR,56.66,light rain,-43.3002,-65.1023,Hosteria Sampedro
48,Pacific Grove,US,53.28,clear sky,36.6177,-121.9166,Lovers Point Inn
53,Ziro,IN,54.34,clear sky,27.6333,93.8333,Ka-ngam homestay
55,Saint George,US,44.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
60,Busselton,AU,58.37,overcast clouds,-33.65,115.3333,Observatory Guest House
62,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
64,Porrentruy,CH,48.9,overcast clouds,47.4153,7.0752,Auberge d'Ajoie
66,Kodiak,US,42.31,moderate rain,57.79,-152.4072,Best Western Kodiak Inn
74,Lebu,CL,53.37,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
75,Vestmannaeyjar,IS,46.85,overcast clouds,63.4427,-20.2734,Glamping & Camping
78,Guadalupe Y Calvo,MX,43.66,few clouds,26.1,-106.9667,Hotel Pizarro
91,Channel-Port Aux Basques,CA,40.6,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
96,Olafsvik,IS,42.17,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
100,La Paz,BO,49.98,scattered clouds,-16.5,-68.15,Hotel Presidente
116,Saint-Francois,FR,47.64,fog,46.4154,3.9054,Maison Vin d'Hus
124,Shache,CN,41.85,overcast clouds,38.4167,77.2406,Delong Hotel
135,Hermanus,ZA,58.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
138,North Bend,US,47.16,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
154,Jamestown,US,59.05,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
162,Halifax,CA,57.49,light rain,44.6453,-63.5724,Hotel Halifax
168,Nikolskoye,RU,53.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
175,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
178,Ancud,CL,52.41,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
194,Eschwege,DE,47.88,overcast clouds,51.1833,10.0667,Altstadtgasthof Zur Krone
199,San Jose,US,53.82,clear sky,37.3394,-121.895,The Westin San Jose
207,Lata,PT,53.08,clear sky,40.1629,-8.3327,Terraços da Beira
211,Hamilton,US,51.24,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
224,Dalhousie,IN,44.78,clear sky,32.5333,75.9833,Hotel Mount View
226,Jumla,NP,49.42,clear sky,29.2747,82.1838,Royal Garden Hotel
227,Rio Gallegos,AR,48.25,few clouds,-51.6226,-69.2181,Hotel Santa Cruz
228,Faya,SA,51.91,clear sky,18.3851,42.4509,شيلة نسايم
231,Sinjar,IQ,57.36,clear sky,36.3209,41.8754,زوماني فون 1
240,Oskarshamn,SE,57.97,clear sky,57.2645,16.4484,Best Western Hotel Corallen
242,Quthing,LS,58.68,overcast clouds,-30.4,27.7003,Mountainside Hotel
243,Zhuanghe,CN,58.26,moderate rain,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
245,Reims,FR,44.38,fog,49.1667,4.0833,Château de Rilly
248,Waterloo,CA,54.01,mist,43.4668,-80.5164,The Walper Hotel
261,Stornoway,GB,53.56,broken clouds,58.2093,-6.3865,Caladh Inn
