City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mnogovershinnyy,RU,53.9353,139.9242,24.26,76,83,8.52,broken clouds
1,Luderitz,NA,-26.6481,15.1594,55.87,84,25,4.43,scattered clouds
2,Hobart,AU,-42.8794,147.3294,63.23,57,20,14.97,few clouds
3,Ushuaia,AR,-54.8,-68.3,40.66,70,0,10.36,clear sky
4,Sola,VU,-13.8833,167.55,80.47,77,100,9.15,heavy intensity rain
5,Rikitea,PF,-23.1203,-134.9692,74.46,87,98,15.28,overcast clouds
6,Victoria,HK,22.2855,114.1577,82.18,73,66,5.01,broken clouds
7,Hilo,US,19.7297,-155.09,76.73,76,100,13.8,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,67.71,80,34,2.89,scattered clouds
9,Upernavik,GL,72.7868,-56.1549,10.89,82,95,6.89,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,6.91,clear sky
11,Castro,BR,-24.7911,-50.0119,57.18,98,66,6.02,broken clouds
12,Cartersville,US,34.1651,-84.7999,65.59,86,100,4.61,overcast clouds
13,Casino,AU,-28.8667,153.05,85.82,31,60,4.9,broken clouds
14,Tabou,CI,4.423,-7.3528,75.85,90,100,5.44,light rain
15,Severo-Kurilsk,RU,50.6789,156.125,35.71,64,97,22.88,overcast clouds
16,Kailua,US,21.4022,-157.7394,78.78,65,73,5.01,broken clouds
17,Det Udom,TH,14.906,105.0784,83.98,65,75,1.5,broken clouds
18,Alekseyevka,RU,50.6309,38.6903,42.03,94,100,8.3,overcast clouds
19,Khatanga,RU,71.9667,102.5,-29.72,99,76,7.38,broken clouds
20,Provideniya,RU,64.3833,-173.3,15.03,69,0,9.42,clear sky
21,Iquitos,PE,-3.7481,-73.2472,77.04,83,75,12.66,moderate rain
22,Lingyuan,CN,41.24,119.4011,32.31,89,100,18.19,light snow
23,Mataura,NZ,-46.1927,168.8643,58.48,52,100,7.07,overcast clouds
24,Dir,PK,35.2058,71.8756,46.06,34,0,9.06,clear sky
25,Port Alfred,ZA,-33.5906,26.891,64.18,94,91,1.01,overcast clouds
26,Sann,PK,26.0418,68.1378,76.68,36,0,4.27,clear sky
27,Souillac,MU,-20.5167,57.5167,73.38,65,55,7.54,broken clouds
28,Ahipara,NZ,-35.1667,173.1667,66.85,74,15,10.22,few clouds
29,Guerrero Negro,MX,27.9769,-114.0611,65.1,58,93,14.23,overcast clouds
30,Kudahuvadhoo,MV,2.6708,72.8944,81.07,77,100,13.94,overcast clouds
31,Boa Vista,BR,2.8197,-60.6733,78.78,73,20,2.3,few clouds
32,Atambua,ID,-9.1061,124.8925,86.14,59,58,3.36,broken clouds
33,Jaque,PA,7.5175,-78.1703,76.87,88,99,1.43,light rain
34,Bredasdorp,ZA,-34.5322,20.0403,63.75,86,94,7.16,overcast clouds
35,New Norfolk,AU,-42.7826,147.0587,62.89,44,78,3.0,broken clouds
36,Talaya,RU,61.3833,152.75,-9.47,97,72,0.98,broken clouds
37,Saldanha,ZA,-33.0117,17.9442,62.89,76,42,13.6,scattered clouds
38,Winsum,NL,53.33,6.5208,42.98,93,9,8.86,clear sky
39,Yatou,CN,37.15,122.3833,62.42,97,100,15.39,moderate rain
40,Atuona,PF,-9.8,-139.0333,77.41,78,12,13.85,few clouds
41,Bintulu,MY,3.1667,113.0333,81.81,79,98,4.74,overcast clouds
42,Jijiga,ET,9.35,42.8,60.62,80,52,2.62,broken clouds
43,Nelson Bay,AU,-32.7167,152.15,78.85,71,12,13.56,few clouds
44,Portland,US,45.5234,-122.6762,44.78,76,100,15.99,overcast clouds
45,Lorengau,PG,-2.0226,147.2712,83.95,74,100,2.57,heavy intensity rain
46,Esperance,AU,-33.8667,121.9,58.84,78,95,22.32,overcast clouds
47,Rawson,AR,-43.3002,-65.1023,56.66,75,100,16.22,light rain
48,Pacific Grove,US,36.6177,-121.9166,53.28,81,0,3.44,clear sky
49,Perth,AU,-31.9333,115.8333,65.03,50,75,17.27,broken clouds
50,Thinadhoo,MV,0.5333,72.9333,82.09,76,99,15.68,overcast clouds
51,Port Blair,IN,11.6667,92.75,82.44,78,40,6.91,scattered clouds
52,Cape Town,ZA,-33.9258,18.4232,62.35,78,0,5.01,clear sky
53,Ziro,IN,27.6333,93.8333,54.34,52,1,1.21,clear sky
54,Albany,US,42.6001,-73.9662,68.4,95,100,3.0,overcast clouds
55,Saint George,US,37.1041,-113.5841,44.94,46,0,1.01,clear sky
56,Kapaa,US,22.0752,-159.319,80.58,61,0,19.57,clear sky
57,Marsh Harbour,BS,26.5412,-77.0636,80.17,77,97,6.42,overcast clouds
58,Mahebourg,MU,-20.4081,57.7,75.25,65,62,9.46,broken clouds
59,Barrow,US,71.2906,-156.7887,10.42,92,75,13.8,broken clouds
60,Busselton,AU,-33.65,115.3333,58.37,54,100,13.35,overcast clouds
61,Aykhal,RU,66.0,111.5,5.09,96,100,5.59,light snow
62,Bluff,NZ,-46.6,168.3333,58.8,69,100,9.57,overcast clouds
63,Vaini,TO,-21.2,-175.2,84.36,79,20,9.22,few clouds
64,Porrentruy,CH,47.4153,7.0752,48.9,72,96,1.97,overcast clouds
65,Cidreira,BR,-30.1811,-50.2056,66.7,91,100,10.96,overcast clouds
66,Kodiak,US,57.79,-152.4072,42.31,100,100,13.8,moderate rain
67,Riyadh,SA,24.6877,46.7219,66.34,34,11,8.19,few clouds
68,Nanortalik,GL,60.1432,-45.2371,25.43,85,100,7.02,overcast clouds
69,Qaanaaq,GL,77.484,-69.3632,-4.22,66,0,7.9,clear sky
70,Aasiaat,GL,68.7098,-52.8699,12.43,95,100,4.23,overcast clouds
71,Chapais,CA,49.7834,-74.8492,31.78,97,100,9.44,overcast clouds
72,Thompson,CA,55.7435,-97.8558,-9.87,100,50,3.38,scattered clouds
73,Lubao,PH,14.9167,120.55,87.87,66,25,8.86,light rain
74,Lebu,CL,-37.6167,-73.65,53.37,90,100,10.02,overcast clouds
75,Vestmannaeyjar,IS,63.4427,-20.2734,46.85,89,96,24.11,overcast clouds
76,Kashary,RU,49.04,41.0056,37.44,92,7,5.21,clear sky
77,Takoradi,GH,4.8845,-1.7554,76.86,87,30,4.09,light rain
78,Guadalupe Y Calvo,MX,26.1,-106.9667,43.66,70,15,4.85,few clouds
79,Port Lincoln,AU,-34.7333,135.8667,67.44,80,76,13.98,broken clouds
80,Tiksi,RU,71.6872,128.8694,-17.14,100,89,7.45,overcast clouds
81,Longyearbyen,SJ,78.2186,15.6401,15.64,79,0,5.75,clear sky
82,Butaritari,KI,3.0707,172.7902,81.86,73,94,14.45,overcast clouds
83,Hualmay,PE,-11.0964,-77.6139,64.02,83,16,11.77,few clouds
84,Acapulco,MX,16.8634,-99.8901,80.42,83,40,3.44,scattered clouds
85,Yilan,TW,24.757,121.753,88.02,64,0,4.03,clear sky
86,Taicheng,CN,38.731,113.228,39.78,58,100,8.77,overcast clouds
87,Usinsk,RU,65.9939,57.5281,2.12,99,92,7.29,overcast clouds
88,Saskylakh,RU,71.9167,114.0833,-24.5,100,95,0.63,overcast clouds
89,Barabinsk,RU,55.3571,78.357,30.6,97,100,13.58,light snow
90,Ialibu,PG,-6.2821,143.9935,71.4,54,100,6.29,overcast clouds
91,Channel-Port Aux Basques,CA,47.5702,-59.1367,40.6,68,100,6.33,overcast clouds
92,Quatre Cocos,MU,-20.2078,57.7625,75.09,63,74,10.69,broken clouds
93,Emba,KZ,48.8264,58.1442,31.23,94,33,8.55,scattered clouds
94,Miri,MY,4.4148,114.0089,84.99,68,58,7.2,broken clouds
95,Flinders,AU,-34.5833,150.8552,73.26,82,27,8.28,light rain
96,Olafsvik,IS,64.8945,-23.7142,42.17,91,100,13.76,overcast clouds
97,Avarua,CK,-21.2078,-159.775,75.25,69,20,10.36,few clouds
98,Bakchar,RU,57.0186,82.0711,25.09,96,99,7.25,overcast clouds
99,Picayune,US,30.5255,-89.6795,63.79,79,7,1.57,clear sky
100,La Paz,BO,-16.5,-68.15,49.98,21,27,0.0,scattered clouds
101,Cabo San Lucas,MX,22.8909,-109.9124,74.61,76,20,9.22,few clouds
102,Port Elizabeth,ZA,-33.918,25.5701,66.0,87,54,3.2,broken clouds
103,Nouadhibou,MR,20.931,-17.0347,69.03,87,0,11.25,clear sky
104,Pirovskoye,RU,57.6267,92.2658,27.46,92,99,10.65,overcast clouds
105,Iqaluit,CA,63.7506,-68.5145,5.7,77,100,3.0,overcast clouds
106,Chuy,UY,-33.6971,-53.4616,60.57,97,6,7.63,clear sky
107,Nicoya,CR,10.1483,-85.452,72.75,95,97,2.28,overcast clouds
108,Nome,US,64.5011,-165.4064,17.67,63,0,14.97,clear sky
109,Puerto Ayora,EC,-0.7393,-90.3518,68.56,85,75,4.0,broken clouds
110,Vao,NC,-22.6667,167.4833,73.72,77,88,19.19,overcast clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,10.85,93,70,6.55,broken clouds
112,Hay River,CA,60.8156,-115.7999,21.87,80,100,10.69,overcast clouds
113,Raga,SS,8.4596,25.678,69.37,35,99,3.47,overcast clouds
114,Griffith,US,41.5284,-87.4237,34.29,69,75,11.5,broken clouds
115,El Alto,PE,-4.2714,-81.2147,62.76,83,98,15.93,overcast clouds
116,Saint-Francois,FR,46.4154,3.9054,47.64,100,100,6.91,fog
117,Natal,BR,-5.795,-35.2094,79.45,83,40,5.75,scattered clouds
118,Kendari,ID,-3.945,122.4989,88.07,63,100,3.29,overcast clouds
119,Doha,QA,25.2867,51.5333,76.98,88,0,0.0,clear sky
120,Tommot,RU,58.9564,126.2925,11.37,83,100,4.54,overcast clouds
121,Zalantun,CN,48.0,122.7167,33.4,30,40,12.93,scattered clouds
122,Pierre,US,44.3683,-100.351,14.92,85,100,11.5,overcast clouds
123,Bengkulu,ID,-3.8004,102.2655,82.45,71,98,6.35,overcast clouds
124,Shache,CN,38.4167,77.2406,41.85,37,98,2.13,overcast clouds
125,Kismayo,SO,-0.3582,42.5454,77.68,84,71,9.06,broken clouds
126,Roma,US,43.2128,-75.4557,68.09,96,100,8.05,overcast clouds
127,Bethel,US,41.3712,-73.414,69.78,88,100,5.99,overcast clouds
128,Narsaq,GL,60.9167,-46.05,21.42,93,100,2.39,overcast clouds
129,Nuevitas,CU,21.5453,-77.2644,75.7,81,100,2.08,overcast clouds
130,Whitehorse,CA,60.7161,-135.0538,26.02,95,100,6.4,overcast clouds
131,Alice Springs,AU,-23.7,133.8833,90.95,38,35,17.27,scattered clouds
132,Puerto Colombia,CO,10.9878,-74.9547,80.69,81,100,13.33,light rain
133,Kerewan,GM,13.4898,-16.0888,73.62,67,91,6.67,overcast clouds
134,Namatanai,PG,-3.6667,152.4333,82.09,77,98,7.47,light rain
135,Hermanus,ZA,-34.4187,19.2345,58.8,79,0,8.01,clear sky
136,Oranjemund,NA,-28.55,16.4333,58.24,81,50,7.76,scattered clouds
