City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-11-09 22:34:04,77.484,-69.3632,-8.72,59,98,6.98
1,Sisimiut,GL,2022-11-09 22:31:10,66.9395,-53.6735,10.53,67,100,11.92
2,Punta Arenas,CL,2022-11-09 22:31:43,-53.15,-70.9167,51.12,37,40,27.63
3,Talnakh,RU,2022-11-09 22:34:05,69.4865,88.3972,-8.32,100,100,5.75
4,Matay,EG,2022-11-09 22:34:06,28.419,30.7792,63.64,65,0,7.27
5,Butaritari,KI,2022-11-09 22:34:06,3.0707,172.7902,81.41,76,100,21.79
6,Nikolskoye,RU,2022-11-09 22:34:07,59.7035,30.7861,49.91,94,100,8.34
7,Funadhoo,MV,2022-11-09 22:34:07,6.15,73.2667,80.56,76,92,4.52
8,Tuktoyaktuk,CA,2022-11-09 22:34:08,69.4541,-133.0374,12.2,92,75,8.05
9,Ushuaia,AR,2022-11-09 22:34:08,-54.8,-68.3,44.26,61,40,18.41
10,Samarai,PG,2022-11-09 22:34:09,-10.6167,150.6667,83.3,63,75,11.21
11,Port Alfred,ZA,2022-11-09 22:34:09,-33.5906,26.891,64.92,75,99,11.03
12,Ambilobe,MG,2022-11-09 22:34:09,-13.2,49.05,70.81,71,52,4.38
13,Usinsk,RU,2022-11-09 22:34:10,65.9939,57.5281,26.83,94,100,5.79
14,Evanston,US,2022-11-09 22:33:02,42.0411,-87.6901,69.35,51,0,10.36
15,Mataura,NZ,2022-11-09 22:34:10,-46.1927,168.8643,56.48,38,3,4.88
16,Baturaja,ID,2022-11-09 22:34:11,-4.1333,104.1667,72.9,99,100,1.92
17,Jackson,US,2022-11-09 22:29:15,42.4165,-122.8345,51.93,64,75,5.75
18,Cape Town,ZA,2022-11-09 22:33:34,-33.9258,18.4232,61.11,66,0,17.27
19,Hilo,US,2022-11-09 22:29:30,19.7297,-155.09,82.26,73,0,8.05
20,Albany,US,2022-11-09 22:34:12,42.6001,-73.9662,47.62,44,1,4.27
21,Savonlinna,FI,2022-11-09 22:34:12,61.8699,28.88,39.25,93,100,3.44
22,Prince Rupert,CA,2022-11-09 22:34:13,54.3161,-130.3201,33.89,42,100,9.22
23,Aklavik,CA,2022-11-09 22:34:13,68.2191,-135.0107,15.8,86,40,3.44
24,Poum,NC,2022-11-09 22:34:14,-20.2333,164.0167,76.57,71,59,19.98
25,Kapaa,US,2022-11-09 22:34:14,22.0752,-159.319,84.18,71,40,16.11
26,Chulym,RU,2022-11-09 22:34:14,55.0997,80.9572,25.95,94,96,11.61
27,Olafsvik,IS,2022-11-09 22:34:15,64.8945,-23.7142,38.35,91,100,14.56
28,La Tuque,CA,2022-11-09 22:34:16,47.4334,-72.7824,37.65,52,100,8.05
29,Cockburn Town,TC,2022-11-09 22:34:16,21.4612,-71.1419,81.37,72,0,4.94
30,Narok,KE,2022-11-09 22:34:17,-1.0783,35.8601,61.41,78,100,4.88
31,Kikwit,CD,2022-11-09 22:34:17,-5.041,18.8162,68.77,99,100,0.51
32,Kenai,US,2022-11-09 22:34:18,60.5544,-151.2583,35.15,92,100,23.02
33,Bambous Virieux,MU,2022-11-09 22:34:18,-20.3428,57.7575,73.65,73,40,4.61
34,Lompoc,US,2022-11-09 22:34:19,34.6391,-120.4579,63.7,67,20,16.11
35,Sitka,US,2022-11-09 22:34:20,57.0531,-135.33,40.89,52,100,12.66
36,Hobart,AU,2022-11-09 22:29:39,-42.8794,147.3294,69.22,61,40,10.36
37,Cabo San Lucas,MX,2022-11-09 22:30:42,22.8909,-109.9124,83.61,57,20,19.57
38,New Norfolk,AU,2022-11-09 22:34:21,-42.7826,147.0587,68.88,46,40,3.0
39,Vanavara,RU,2022-11-09 22:34:21,60.34,102.2797,19.33,91,100,10.94
